Cluster;beer;beer_id;beer_type;A_malt_grain;A_malt_bread;A_malt_cara;A_malt_burn;A_hops_citrus;A_hops_tropical;A_hops_noble;A_hops_woody;A_esters_ethac;A_esters_isoaa;A_esters_flower;A_esters_fruity;F_malt_grain;F_malt_bread;F_malt_cara;F_malt_burn;F_hops_citrus;F_hops_tropical;F_hops_noble;F_hops_woody;F_esters_ethac;F_esters_isoaa;F_esters_flower;F_esters_fruity;acidity;bitternes;sweetness;X4vg;diacetyl;dms;metallic;stale_hops;t2n;orange;coriander;clove;lactic;acetic;barnyard;co2;overall
3;94;5,41219E+17;Blond;-0,367966187;-0,176028381;-0,49663297;-0,048982261;1,55952768;2,311289538;-0,249999723;0,497876359;-0,795678126;-0,056231661;0,070424277;0,193696988;-0,246056826;-0,3558349;-0,234394825;0,406580475;1,817880766;1,750063517;-0,087937365;0,182572765;-0,369137791;-0,147997143;-0,015487654;-0,002767162;-0,121720648;0,063834581;0,218082587;-0,294565653;0,242496855;-0,416608851;0,743338146;-0,269109363;-0,272648659;-0,224174694;-0,1626491;-0,069192672;-0,33738911;-0,287612613;-0,263396581;0,403690637;230788319
4;110;5,4111E+16;Blond;-0,824530229;-0,086969265;0,025355476;-0,292356223;-0,090636766;0,142668048;-0,842155098;-0,324294813;1,479177898;1,683205238;-0,13190395;-0,044842622;-0,49427915;0,116734135;0,111317791;-0,272214511;-0,189373662;0,33780287;-0,84403196;-0,357995408;1,006540807;1,018398088;-0,089549172;-0,254221371;1,375111762;-0,131536261;0,537492405;-0,066129811;0,026400767;-0,331299242;0,20807851;-0,356219049;0,523898383;-0,234353571;-0,197774146;-0,223162394;-0,331197156;-0,277935224;-0,350926111;-0,059791326;-88505558
5;249;9,12004E+17;Blond;0,250291648;-0,289144762;-0,102122069;-0,1446395;0,020441072;-0,202616484;0,27566016;-0,081566604;0,533203276;-0,025764206;0,004816401;0,089889135;0,350614158;0,007105491;0,156585663;-0,475284332;0,114524826;-0,334334102;0,432171102;-0,306051384;0,322481062;-0,026334853;-0,308483081;-0,428655581;-0,262020981;0,36504143;-0,494971725;-0,340493859;-0,449604702;-0,389337065;-0,309041751;-0,33946832;-0,352548641;0,252696067;-0,171020968;-0,213774845;-0,3007086;-0,2680461;-0,332595306;0,745172652;723456436
5;101;5,42504E+17;Blond;-0,338090504;-0,331267903;-0,294892823;-0,400673755;1,103160919;0,6714133;0,430881354;-0,127590536;-0,12278388;0,049999004;0,526487097;-0,296281029;-0,043772131;-0,224695699;-0,128963393;-0,272484491;1,234818716;0,119867051;0,155866722;-0,188939219;-0,117302037;0,89307539;0,123704792;-0,215152906;-0,463069596;0,136253464;0,484625496;-0,556524671;-0,417307707;-0,46315738;-0,125199269;-0,33946832;-0,455592668;0,72670829;1,431113095;0,488161869;-0,3007086;-0,2680461;-0,332595306;0,641557021;499561907
5;149;5,42503E+17;Blond;1,228324771;2,089717818;-0,089786177;0,387547344;-0,140429685;-0,106867932;0,494211273;-0,236659642;0,743755662;0,648478602;-0,441750879;0,016030465;0,993106349;0,805475861;-0,501432053;-0,080786762;-0,005721055;-0,276181905;0,795421641;-0,271942284;0,918131813;0,66997478;-0,247569995;0,153101919;-0,334071065;0,279860463;-0,842444103;1,743709823;0,010623112;0,028803449;0,397616688;-0,15550353;-0,387671461;0,228332377;-0,170150457;-0,198518673;-0,284383559;-0,279969843;-0,338178284;0,101742608;-955883254
5;234;5,42503E+17;Blond;-0,315397845;-0,146533006;-0,221301605;-0,271850258;-0,237767872;-0,359692818;0,452394656;0,211118602;-0,458185441;-0,518447921;-0,270494704;-0,207536237;-0,092462595;0,110223503;-0,383813984;0,030661093;-0,308797253;-0,314289334;0,269112888;0,801518478;-0,380007259;-0,646720861;-0,302299588;-0,500840873;-0,480623913;1,666040056;-0,601417856;1,585805606;-0,15360133;0,13992728;-0,281105362;-0,250482413;0,100159434;-0,227749707;-0,186646869;-0,22386688;-0,329386681;-0,298126863;-0,235921232;0,813022543;458368997
5;59;5,42501E+17;Blond;-0,619154878;-0,466497078;-0,314754778;-0,047409092;1,479065169;-0,012164066;0,693015161;-0,297415883;-0,190278033;-0,426625292;-0,304251602;-0,378576516;-0,190084493;-0,229172624;0,381066874;0,696096346;0,225492105;-0,294197242;0,363177299;-0,143420573;-0,195936383;-0,478457974;-0,126149463;-0,50448885;-0,054681204;1,536765322;-0,517938021;0,194668822;-0,501358062;-0,218589572;-0,246938146;-0,139405588;-0,296886512;-0,227760533;0,14032704;-0,220350874;-0,305958122;-0,276604088;-0,131978973;-0,460533436;-1005601205
5;125;5,41396E+17;Blond;-0,402501889;-0,288433866;-0,453922272;-0,271850258;0,111752721;0,297038663;0,424798827;-0,066057291;-0,163232466;-0,439286666;-0,296358913;-0,121012819;-0,645493443;-0,535373592;-0,439006656;-0,235016699;0,306732206;-0,173944715;0,166678618;0,708305039;-0,575683407;-0,646720861;-0,302299588;-0,500840873;-0,279270011;1,836293524;-0,878687967;-0,313703238;-0,232955362;0,017095645;0,051271747;-0,181559234;0,631627929;-0,227749707;0,10396689;-0,22386688;-0,329386681;-0,298126863;-0,176747473;0,282024375;-43386889
5;215;5,41396E+17;Blond;-0,464231229;0,386226955;-0,143761382;-0,196108328;-0,053172507;-0,359692818;0,24269128;0,304670566;-0,232265548;-0,347585416;-0,408510714;-0,275885516;0,341355928;0,248436748;0,196550036;-0,255157138;0,200697357;-0,080381635;0,436197614;-0,102384758;-0,361478645;-0,495409816;-0,302299588;-0,370805008;-0,40216802;1,098984744;-0,415639242;-0,341658122;-0,093857554;0,128975977;0,083345928;-0,219979259;0,338861432;-0,227749707;-0,186646869;-0,22386688;-0,329386681;-0,298126863;-0,215167497;0,129758562;689567498
5;5;5,4E+13;Blond;0,974212016;0,007268099;-0,599110694;-0,403207114;1,152196354;0,194895042;0,428076728;-0,463908713;0,688806665;0,622991297;0,311186226;-0,24475123;0,888584951;0,933534979;0,223085633;-0,461876522;0,13276155;0,39760285;1,342719365;-0,603583764;0,366925926;-0,065013355;0,296488615;-0,690180858;-0,174774935;0,044073059;-0,542289319;-0,00421732;-0,657461766;0,15073943;-0,73722619;-0,344930396;-0,513370956;-0,269269329;-0,235029903;-0,268516935;-0,30591664;-0,247791078;-0,342486837;0,919324034;336849456
5;127;54138278;Blond;-0,093586587;-0,180138119;-0,51757187;-0,155682745;0,594214636;0,097516928;0,178344723;0,25701408;0,393345356;0,069990926;-0,058375936;-0,13122632;-0,005783391;-0,291709391;-0,318479638;-0,296657214;-0,098687412;-0,21834254;0,306912793;-0,033440983;0,409848774;-0,017759669;-0,159823368;-0,083190736;0,061711963;0,190036251;0,02042481;0,093532117;-0,504686517;0,441132593;0,528620283;0,045682529;-0,047800115;-0,20415053;0,044600295;-0,137088517;-0,310701333;-0,279127672;-0,18853446;0,625808194;-122015734
