Cluster;beer;beer_id;beer_type;A_malt_grain;A_malt_bread;A_malt_cara;A_malt_burn;A_hops_citrus;A_hops_tropical;A_hops_noble;A_hops_woody;A_esters_ethac;A_esters_isoaa;A_esters_flower;A_esters_fruity;F_malt_grain;F_malt_bread;F_malt_cara;F_malt_burn;F_hops_citrus;F_hops_tropical;F_hops_noble;F_hops_woody;F_esters_ethac;F_esters_isoaa;F_esters_flower;F_esters_fruity;acidity;bitternes;sweetness;X4vg;diacetyl;dms;metallic;stale_hops;t2n;orange;coriander;clove;lactic;acetic;barnyard;co2;overall
1;130;5,42503E+17;1;1,25022332;0,821145455;-0,59238833;-0,447275469;1,679599339;-0,458309285;1,382903778;0,466320947;-0,430209456;-0,295313927;-0,086389026;-0,294071676;1,258736543;0,76259339;-0,526737078;-0,535076164;0,67146146;-0,302655853;0,383197075;-0,04637752;0,225275956;-0,395033667;0,138167069;-0,251961874;2,213032359;0,074237568;-0,994606558;-0,701431141;-0,513726054;1,535864372;-0,22806365;-0,376104473;0,188751399;0,118507892;-0,171125303;-0,243970646;3,439422548;1,179876269;-0,374259134;0,902444846;-244101972
2;162;5,42502E+17;2;-0,0684499;-0,031913683;-0,300178073;-0,120363307;-0,224767813;-0,252907767;0,288866315;-0,293669381;-0,484504564;0,156521313;-0,205476923;-0,142291891;-0,107308549;-0,196682164;-0,444422189;-0,327518675;0,228594026;-0,210548198;0,144061767;-0,326653117;-0,214387531;-0,388287593;-0,293420406;-0,223531263;2,343735074;-0,704498877;-0,560864856;-0,467412271;-0,457156533;-0,157835054;0,229073173;-0,318358868;0,161717962;-0,248142575;-0,160148109;-0,204596605;1,175417034;1,31900316;-0,311607399;-0,186745618;-101667942
2;153;5,42501E+17;3;-0,089599436;-0,429247852;-0,493870265;-0,342976798;-0,514986489;-0,369153169;0,000559781;-0,020751197;0,229657289;-0,238972355;0,232896086;0,582074759;-0,1541688;-0,513902451;-0,501364888;-0,200181904;-0,34216712;-0,283492388;-0,401353594;-0,122773826;0,617031732;-0,263272568;-0,245725201;0,076024533;2,615437127;-0,379059455;-0,697310063;-0,482112706;-0,497984569;0,084162688;-0,506091656;-0,029543713;-0,143567322;-0,231139286;-0,166492365;-0,197426812;1,09775921;1,395869918;0,004654078;-0,324687767;-1020328521
2;184;5,41278E+17;4;-0,1512488;-0,208833966;-0,185523652;-0,403207114;-0,21091604;-0,151589523;-0,054729096;-0,150474678;-0,699589973;0,204747188;0,111299996;0,030203107;-0,447618885;-0,239562595;-0,381900974;-0,461876522;0,878346772;0,252792478;-0,456889386;-0,603583764;-0,673875382;0,240813272;-0,432918788;0,93563416;1,350592167;-1,069987811;0,193543749;-0,634992482;-0,657461766;-0,01364644;-0,73722619;0,595362787;0,326496924;-0,269269329;-0,235029903;-0,268516935;2,395026951;1,032508471;0,597806346;-1,092564617;-1306380243
2;75;5,41278E+17;2;0,464857742;-0,323359229;-0,434340746;-0,107694913;-0,28275216;-0,387442903;0,062062908;-0,105569439;-0,233291721;-0,433825692;-0,338955134;-0,410299921;0,210064313;-0,051933822;-0,522142554;-0,357664473;-0,179908562;-0,322850369;0,055393326;0,040289692;0,084464681;-0,289335319;-0,22871345;-0,268912473;1,900912411;-0,284930118;-0,723073292;-0,425222452;-0,307049666;0,128695905;0,27401184;0,345726108;0,201848371;-0,245521959;0,44532983;-0,207530432;1,668161208;1,404666602;0,365359249;0,176487824;134674329
2;21;5,41278E+17;2;-0,138887405;-0,413241939;-0,193119068;-0,345911751;-0,127884547;-0,388086165;0,065394996;-0,293054678;-0,287044539;-0,028200991;-0,37045703;0,2211801;-0,229845669;-0,483546502;-0,498540048;-0,394253823;-0,400470592;-0,306600849;-0,390381162;-0,31564685;-0,015101761;-0,038576801;-0,344784512;-0,109563714;1,766660004;-0,35664745;-1,010874166;-0,461985027;-0,370232791;-0,55488594;0,963419605;-0,16570784;-0,108786264;-0,227350082;0,511404604;-0,209413796;0,974588487;1,56247518;-0,146282423;0,448819355;-221669928
2;176;5,41186E+17;5;-0,217892103;-0,460335228;-0,253948608;-0,346786162;-0,400498596;-0,25467186;-0,522764574;-0,279102936;-0,240096974;-0,663413337;-0,245658211;-0,367414175;-0,403339027;-0,306950884;-0,537532122;-0,44568677;-0,337488276;-0,28842888;-0,535064122;-0,31418741;-0,316425047;-0,511248169;-0,073743588;-0,203302063;3,781348008;-1,009684994;-0,289247322;-0,463237558;-0,304382196;-0,202482382;-0,379633392;0,012722393;-0,387657549;-0,254800591;-0,163465732;-0,217791672;3,419127797;3,818123967;0,029256719;-0,82669789;-471560722
2;167;5,41186E+17;6;0,740310992;0,705387197;0,023536277;0,247348943;-0,310606446;-0,36296944;-0,343886005;-0,306886358;0,292449208;-0,201686256;-0,328388196;0,058460046;0,441994854;0,300628951;-0,373752201;-0,437933773;-0,174508468;-0,313719303;-0,253797284;-0,162051961;0,265474714;-0,042327663;0,022574323;0,284438347;1,942722887;-0,891586904;-0,022828603;-0,486001504;1,446033267;-0,45973794;-0,034308055;-0,194805282;0,16063655;0,060263278;-0,164528591;-0,211174334;0,690858653;2,353935326;-0,177995357;-0,313073357;66018826
2;161;5,41169E+17;6;-0,091576858;-0,090103011;0,164437879;0,192059643;-0,296915549;-0,36296944;-0,305865092;-0,013413424;0,571884241;-0,113082844;0,108127422;-0,4176943;-0,005834915;-0,275795855;-0,12880642;-0,437933773;-0,046910988;-0,116299267;-0,408716347;-0,162051961;0,68685711;-0,275840217;-0,172162849;0,295787341;1,221408591;-0,717276072;-0,1896761;-0,304398121;-0,146679017;-0,007907444;0,244833828;0,000697575;0,077903959;-0,236587392;-0,164528591;-0,211174334;1,294536638;0,791122135;0,022725636;-0,146403212;200307573
2;159;5,41169E+17;6;-0,174501337;0,047433858;-0,064168903;0,341906443;-0,243132566;-0,27845944;-0,250166227;-0,142013491;0,286455423;0,019419512;0,483489258;-0,015969686;-0,17885508;-0,184550718;0,016551878;-0,372220773;-0,114456405;-0,182105946;-0,19003413;-0,162051961;1,01746542;-0,225073143;0,495480863;0,22052736;1,504995965;-0,727544815;0,46999187;-0,205656988;0,361191337;-0,20961988;-0,070011499;0,013695589;0,003877194;-0,236587392;1,191755366;-0,211174334;1,712226567;0,80054254;0,029614802;-0,021341327;164264318
